
================================================================================
RESONANT HUNTER v8.4.9 – SINGULARIDAD RECUPERADA
================================================================================

📁 Cargando datos LIGO O4a...
✓ Cargadas 67108864 muestras. GPS inicio: 1389424640.0

[FASE 1] Blanqueo Percudani (ε = 1e-4, k_early = 0.967)...

[FASE 2] Análisis de coherencia (8189 ventanas)
   ✓ Ventana 2050 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1295 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2100 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1294 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2150 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1294 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2200 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1294 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2250 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1294 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2300 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1294 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2350 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1294 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2400 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1294 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2450 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1293 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2500 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1293 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2550 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1293 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2600 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1293 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2650 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1293 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2700 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1293 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2750 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1293 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2800 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1293 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2850 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1292 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2900 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1292 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 2950 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1292 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 3000 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1292 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 3050 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1292 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 3100 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1292 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 3150 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1292 Hz ⚠️ SINGULARIDAD
